endpoint,name,methods,initial_outcome,effective_outcome,status_code,error_type,records,duration_seconds,note
/DESIGN/RC/KDS-41-20-2022/BEMW,Boundary Element Method by Wall ID,"DELETE,GET,POST,PUT",success,success,,,0,0.1635,
/DESIGN/RC/KDS-41-20-2022/CMFT,Equivalent Moment Correction Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0947,
/DESIGN/RC/KDS-41-20-2022/DCO,Design Code Option (RC),"DELETE,GET,PUT",success,success,,,0,0.1018,
/DESIGN/RC/KDS-41-20-2022/DCRE,Rebar Design Criteria,"DELETE,GET,POST,PUT",success,success,,,0,0.0959,
/DESIGN/RC/KDS-41-20-2022/DCREM,Equalize Joint Beam Rebar,"DELETE,GET,POST,PUT",success,success,,,0,0.0987,
/DESIGN/RC/KDS-41-20-2022/DCRM-BEAM,Rebar Design Criteria by Beam Member,"DELETE,GET,POST,PUT",success,success,,,0,0.1112,
/DESIGN/RC/KDS-41-20-2022/DCRM-BRACE,Rebar Design Criteria by Brace Member,"DELETE,GET,POST,PUT",success,success,,,0,0.0983,
/DESIGN/RC/KDS-41-20-2022/DCRM-COLUMN,Rebar Design Criteria by Column Member,"DELETE,GET,POST,PUT",success,success,,,0,0.1154,
/DESIGN/RC/KDS-41-20-2022/DCRM-WALL,Rebar Design Criteria by Wall Member,"DELETE,GET,POST,PUT",success,success,,,0,0.0884,
/DESIGN/RC/KDS-41-20-2022/DCTL,Definition of Frame,"DELETE,GET,PUT",success,success,,,0,0.0996,
/DESIGN/RC/KDS-41-20-2022/DFBA,Design Forces for Assigned Beam,"DELETE,GET,POST,PUT",success,success,,,0,0.0944,
/DESIGN/RC/KDS-41-20-2022/EQCT,Seismic Load Combination Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0884,
/DESIGN/RC/KDS-41-20-2022/FMAG,Moment Magnifier,"DELETE,GET,POST,PUT",success,success,,,0,0.0881,
/DESIGN/RC/KDS-41-20-2022/HCBM,Haunched Beam Assignment,"DELETE,GET,POST,PUT",success,success,,,0,0.0917,
/DESIGN/RC/KDS-41-20-2022/KFAC,Effective Length Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0937,
/DESIGN/RC/KDS-41-20-2022/LCTB,Load Contribution for Nonlinear Load Case,"DELETE,GET",success,success,,,0,0.095,
/DESIGN/RC/KDS-41-20-2022/LENG,Unbraced Length,"DELETE,GET,POST,PUT",success,success,,,0,0.0979,
/DESIGN/RC/KDS-41-20-2022/LLRF,Live Load Reduction Factor,"DELETE,GET,PUT",success,success,,,0,0.1119,
/DESIGN/RC/KDS-41-20-2022/LMRR,Limit Max Rebar Ratio,"DELETE,GET,PUT",success,success,,,0,0.0897,
/DESIGN/RC/KDS-41-20-2022/MATD,Modify Concrete Material,"DELETE,GET,PUT",error,error,404,MidasNotFoundError,,0.1644,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0913,
/DESIGN/RC/KDS-41-20-2022/MCMB,Beam Moment Calculation Method,"DELETE,GET,POST,PUT",success,success,,,0,0.0892,
/DESIGN/RC/KDS-41-20-2022/MEMB,Member Assignment,"DELETE,GET,PUT",success,success,,,0,0.0777,
/DESIGN/RC/KDS-41-20-2022/MLLR,Modify Live Load Reduction Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0865,
/DESIGN/RC/KDS-41-20-2022/MRFT,Moment Redistribution Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.1123,
/DESIGN/RC/KDS-41-20-2022/PMDM,P-M Curve Calculation Method,"DELETE,GET,POST,PUT",success,success,,,0,0.0886,
/DESIGN/RC/KDS-41-20-2022/REBB,Modify Beam Rebar Data,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0918,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/REBC,Modify Column Rebar Data,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0941,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/REBR,Modify Brace Rebar Data,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0939,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/REBW,Modify Wall Rebar Data,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.091,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/REXC,Rebar Exposure Condition,"DELETE,GET,POST,PUT",success,success,,,0,0.0946,
/DESIGN/RC/KDS-41-20-2022/SCOL,Seismic Column Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0847,
/DESIGN/RC/KDS-41-20-2022/SDGN,Seismic Design Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0777,
/DESIGN/RC/KDS-41-20-2022/SRDF,Strength Reduction Factors,"DELETE,GET,PUT",success,success,,,0,0.0929,
/DESIGN/RC/KDS-41-20-2022/SUEQ,Scale up Factor for Earthquake,"DELETE,GET,POST,PUT",success,success,,,0,0.103,
/DESIGN/RC/KDS-41-20-2022/TRFT,Torsion Reduction Factor,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.3027,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/ULCT,Underground Load Combination Type,"DELETE,GET,POST,PUT",error,error,404,MidasNotFoundError,,0.0576,GET and /info both returned 404.
/DESIGN/RC/KDS-41-20-2022/WMAK,Modify Wall Mark Data,"DELETE,GET,POST,PUT",success,success,,,0,0.1006,
/DESIGN/SRC/AIK-SRC2K/CMFT,Equivalent Moment Correction Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0956,
/DESIGN/SRC/AIK-SRC2K/DCO,Design Code Option,"DELETE,GET,PUT",success,success,,,0,0.1075,
/DESIGN/SRC/AIK-SRC2K/DCTL,Definition of Frame,"DELETE,GET,PUT",success,success,,,0,0.0964,
/DESIGN/SRC/AIK-SRC2K/EQCT,Seismic Load Combination Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0918,
/DESIGN/SRC/AIK-SRC2K/FMAG,Moment Magnifier,"DELETE,GET,POST,PUT",success,success,,,0,0.088,
/DESIGN/SRC/AIK-SRC2K/KFAC,Effective Length Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0982,
/DESIGN/SRC/AIK-SRC2K/LCTB,Load Contribution for Nonlinear Load Case,"DELETE,GET",success,success,,,0,0.0914,
/DESIGN/SRC/AIK-SRC2K/LENG,Unbraced Length,"DELETE,GET,POST,PUT",success,success,,,0,0.1015,
/DESIGN/SRC/AIK-SRC2K/LLRF,Live Load Reduction Factor,"DELETE,GET,PUT",success,success,,,0,0.0897,
/DESIGN/SRC/AIK-SRC2K/LTSR,Limiting Slenderness Ratio,"DELETE,GET,POST,PUT",success,success,,,0,0.1075,
/DESIGN/SRC/AIK-SRC2K/MATD,SRC Modify Material,"DELETE,GET,PUT",error,error,404,MidasNotFoundError,,0.0938,GET and /info both returned 404.
/DESIGN/SRC/AIK-SRC2K/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,success,,,0,0.0924,
/DESIGN/SRC/AIK-SRC2K/MCRD,SRC Column Section Data,"DELETE,GET,POST,PUT",success,success,,,0,0.0945,
/DESIGN/SRC/AIK-SRC2K/MEMB,Member Assignment,"DELETE,GET,PUT",success,success,,,0,0.0788,
/DESIGN/SRC/AIK-SRC2K/MLLR,Modify Live Load Reduction Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0903,
/DESIGN/SRC/AIK-SRC2K/MRBD,SRC Beam Section Data,"DELETE,GET,POST,PUT",success,success,,,0,0.0909,
/DESIGN/SRC/AIK-SRC2K/SUEQ,Scale up Factor for Earthquake,"DELETE,GET,POST,PUT",success,success,,,0,0.0931,
/DESIGN/STEEL/KDS-41-30-2022/CBFT,Bending Coefficient,"DELETE,GET,POST,PUT",success,success,,,0,0.0898,
/DESIGN/STEEL/KDS-41-30-2022/CMFT,Equivalent Moment Correction Factor,"DELETE,GET,POST,PUT",success,success,,,0,0.0954,
