endpoint,name,methods,outcome,status_code,error_type,records,duration_seconds,note
/DESIGN/RC/KDS-41-20-2022/BEMW,Boundary Element Method by Wall ID,"DELETE,GET,POST,PUT",success,,,0,0.186,
/DESIGN/RC/KDS-41-20-2022/CMFT,Equivalent Moment Correction Factor,"DELETE,GET,POST,PUT",success,,,0,0.1039,
/DESIGN/RC/KDS-41-20-2022/DCO,Design Code Option (RC),"DELETE,GET,PUT",success,,,0,0.1003,
/DESIGN/RC/KDS-41-20-2022/DCRE,Rebar Design Criteria,"DELETE,GET,POST,PUT",success,,,0,0.0928,
/DESIGN/RC/KDS-41-20-2022/DCREM,Equalize Joint Beam Rebar,"DELETE,GET,POST,PUT",success,,,0,0.0909,
/DESIGN/RC/KDS-41-20-2022/DCRM-BEAM,Rebar Design Criteria by Beam Member,"DELETE,GET,POST,PUT",success,,,0,0.088,
/DESIGN/RC/KDS-41-20-2022/DCRM-BRACE,Rebar Design Criteria by Brace Member,"DELETE,GET,POST,PUT",success,,,0,0.0911,
/DESIGN/RC/KDS-41-20-2022/DCRM-COLUMN,Rebar Design Criteria by Column Member,"DELETE,GET,POST,PUT",success,,,0,0.0829,
/DESIGN/RC/KDS-41-20-2022/DCRM-WALL,Rebar Design Criteria by Wall Member,"DELETE,GET,POST,PUT",success,,,0,0.0783,
/DESIGN/RC/KDS-41-20-2022/DCTL,Definition of Frame,"DELETE,GET,PUT",success,,,0,0.0909,
/DESIGN/RC/KDS-41-20-2022/DFBA,Design Forces for Assigned Beam,"DELETE,GET,POST,PUT",success,,,0,0.0876,
/DESIGN/RC/KDS-41-20-2022/EQCT,Seismic Load Combination Type,"DELETE,GET,POST,PUT",success,,,0,0.0909,
/DESIGN/RC/KDS-41-20-2022/FMAG,Moment Magnifier,"DELETE,GET,POST,PUT",success,,,0,0.0934,
/DESIGN/RC/KDS-41-20-2022/HCBM,Haunched Beam Assignment,"DELETE,GET,POST,PUT",success,,,0,0.0839,
/DESIGN/RC/KDS-41-20-2022/KFAC,Effective Length Factor,"DELETE,GET,POST,PUT",success,,,0,0.0926,
/DESIGN/RC/KDS-41-20-2022/LCTB,Load Contribution for Nonlinear Load Case,"DELETE,GET",success,,,0,0.0928,
/DESIGN/RC/KDS-41-20-2022/LENG,Unbraced Length,"DELETE,GET,POST,PUT",success,,,0,0.0932,
/DESIGN/RC/KDS-41-20-2022/LLRF,Live Load Reduction Factor,"DELETE,GET,PUT",success,,,0,0.0765,
/DESIGN/RC/KDS-41-20-2022/LMRR,Limit Max Rebar Ratio,"DELETE,GET,PUT",success,,,0,0.0891,
/DESIGN/RC/KDS-41-20-2022/MATD,Modify Concrete Material,"DELETE,GET,PUT",success,,,0,0.0915,
/DESIGN/RC/KDS-41-20-2022/MBTP,Modify Member Type,"DELETE,GET,POST,PUT",success,,,0,0.089,
/DESIGN/RC/KDS-41-20-2022/MCMB,Beam Moment Calculation Method,"DELETE,GET,POST,PUT",success,,,0,0.0821,
/DESIGN/RC/KDS-41-20-2022/MEMB,Member Assignment,"DELETE,GET,PUT",success,,,0,0.0905,
/DESIGN/RC/KDS-41-20-2022/MLLR,Modify Live Load Reduction Factor,"DELETE,GET,POST,PUT",success,,,0,0.0924,
/DESIGN/RC/KDS-41-20-2022/MRFT,Moment Redistribution Factor,"DELETE,GET,POST,PUT",success,,,0,0.0935,
/DESIGN/RC/KDS-41-20-2022/PMDM,P-M Curve Calculation Method,"DELETE,GET,POST,PUT",success,,,0,0.0901,
/DESIGN/RC/KDS-41-20-2022/REBB,Modify Beam Rebar Data,"DELETE,GET,POST,PUT",success,,,0,0.0947,
/DESIGN/RC/KDS-41-20-2022/REBC,Modify Column Rebar Data,"DELETE,GET,POST,PUT",success,,,0,0.1007,
/DESIGN/RC/KDS-41-20-2022/REBR,Modify Brace Rebar Data,"DELETE,GET,POST,PUT",success,,,0,0.094,
/DESIGN/RC/KDS-41-20-2022/REBW,Modify Wall Rebar Data,"DELETE,GET,POST,PUT",success,,,0,0.0957,
